rank,display_name,source_player_name,player_id,source_group,is_official_75,extra_reason,is_chinese_national_special,from_season,to_season,seasons_played,peak_points_per_game,all_star_count,all_nba_count,mvp_seasons,has_fmvp,has_sixth_man,is_hall_of_fame_quality,is_legend_quality,is_goat_quality,quality_levels,quality_names,quality_basis,goat_attribute_override
22,Kevin Durant,Kevin Durant,duranke01,NBA75,True,,False,2008,2026,19,32.0,16,11,2014,True,False,True,False,False,3|7|8|9|10|11|12|13,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 16"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""MVP"": ""MVP赛季: 2014"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
23,Julius Erving,Julius Erving,ervinju01,NBA75,True,,False,1972,1987,16,31.9,16,12,1981|1976|1975|1974,False,False,True,True,False,3|7|8|9|10|11|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 16"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 12"", ""MVP"": ""MVP赛季: 1981, 1976, 1975, 1974"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
24,Patrick Ewing,Patrick Ewing,ewingpa02,NBA75,True,,False,2011,2011,1,0.4,0,0,,False,False,True,False,False,3|7|8|9|13,新秀|首发|核心|全明星|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""官方75大球星"", ""名人堂"": ""官方75大或名人堂履历""}",
25,Walt Frazier,Walt Frazier,fraziwa01,NBA75,True,,False,1968,1980,13,23.2,7,6,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 6"", ""名人堂"": ""官方75大或名人堂履历""}",
26,Kevin Garnett,Kevin Garnett,garneke01,NBA75,True,,False,1996,2016,21,24.2,15,9,2004,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 15"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 9"", ""MVP"": ""MVP赛季: 2004"", ""名人堂"": ""官方75大或名人堂履历""}",
27,George Gervin,George Gervin,gervige01,NBA75,True,,False,1973,1986,14,33.1,12,9,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 9"", ""名人堂"": ""官方75大或名人堂履历""}",
28,Hal Greer,Hal Greer,greerha01,NBA75,True,,False,1959,1973,15,24.1,10,7,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""名人堂"": ""官方75大或名人堂履历""}",
29,James Harden,James Harden,hardeja01,NBA75,True,,False,2010,2026,17,36.1,11,8,2018,False,True,True,False,False,3|6|7|8|9|10|11|13,新秀|第六人|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""第六人"": ""年度最佳第六人赛季: 2012"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 11"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 8"", ""MVP"": ""MVP赛季: 2018"", ""名人堂"": ""官方75大或名人堂履历""}",
30,John Havlicek,John Havlicek,havlijo01,NBA75,True,,False,1963,1978,16,28.9,13,11,,True,True,True,False,False,3|6|7|8|9|10|12|13,新秀|第六人|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""第六人"": ""早年凯尔特人第六人代表"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 13"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
31,Elvin Hayes,Elvin Hayes,hayesel01,NBA75,True,,False,1969,1984,16,28.7,12,6,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 6"", ""名人堂"": ""官方75大或名人堂履历""}",
32,Allen Iverson,Allen Iverson,iversal01,NBA75,True,,False,1997,2010,14,33.0,11,7,2001,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 11"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""MVP"": ""MVP赛季: 2001"", ""名人堂"": ""官方75大或名人堂履历""}",
33,LeBron James,LeBron James,jamesle01,NBA75,True,,False,2004,2026,23,31.4,22,21,2013|2012|2010|2009,True,False,True,True,True,3|7|8|9|10|11|12|13|14|15,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 22"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 21"", ""MVP"": ""MVP赛季: 2013, 2012, 2010, 2009"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星"", ""GOAT"": ""GOAT候选级历史地位""}",
34,Magic Johnson,Magic Johnson,johnsma02,NBA75,True,,False,1980,1996,17,23.9,12,10,1990|1989|1987,True,False,True,True,False,3|7|8|9|10|11|12|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 10"", ""MVP"": ""MVP赛季: 1990, 1989, 1987"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
35,Sam Jones,Sam Jones,jonessa01,NBA75,True,,False,1958,1969,12,25.9,5,3,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 5"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 3"", ""名人堂"": ""官方75大或名人堂履历""}",
36,Michael Jordan,Michael Jordan,jordami01,NBA75,True,,False,1985,2003,19,37.1,14,11,1998|1996|1992|1991|1988,True,False,True,True,True,3|7|8|9|10|11|12|13|14|15,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 14"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""MVP"": ""MVP赛季: 1998, 1996, 1992, 1991, 1988"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星"", ""GOAT"": ""GOAT候选级历史地位""}",
37,Jason Kidd,Jason Kidd,kiddja01,NBA75,True,,False,1995,2013,19,18.7,10,6,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 6"", ""名人堂"": ""官方75大或名人堂履历""}",
38,Kawhi Leonard,Kawhi Leonard,leonaka01,NBA75,True,,False,2012,2026,15,27.9,7,6,,True,False,True,False,False,3|7|8|9|10|12|13,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 6"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
39,Damian Lillard,Damian Lillard,lillada01,NBA75,True,,False,2013,2025,13,32.2,9,7,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""名人堂"": ""官方75大或名人堂履历""}",
