rank,display_name,source_player_name,player_id,source_group,is_official_75,extra_reason,is_chinese_national_special,from_season,to_season,seasons_played,peak_points_per_game,all_star_count,all_nba_count,mvp_seasons,has_fmvp,has_sixth_man,is_hall_of_fame_quality,is_legend_quality,is_goat_quality,quality_levels,quality_names,quality_basis,goat_attribute_override
50,Dirk Nowitzki,Dirk Nowitzki,nowitdi01,NBA75,True,,False,1999,2019,21,26.6,14,12,2007,True,False,True,True,False,3|7|8|9|10|11|12|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 14"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 12"", ""MVP"": ""MVP赛季: 2007"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
51,Hakeem Olajuwon,Hakeem Olajuwon,olajuha01,NBA75,True,,False,1985,2002,18,27.8,12,12,1994,True,False,True,True,False,3|7|8|9|10|11|12|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 12"", ""MVP"": ""MVP赛季: 1994"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
52,Shaquille O'Neal,Shaquille O'Neal,onealsh01,NBA75,True,,False,1993,2011,19,29.7,15,14,2000,True,False,True,True,False,3|7|8|9|10|11|12|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 15"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 14"", ""MVP"": ""MVP赛季: 2000"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
53,Robert Parish,Robert Parish,parisro01,NBA75,True,,False,1977,1997,21,19.9,9,2,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""名人堂"": ""官方75大或名人堂履历""}",
54,Chris Paul,Chris Paul,paulch01,NBA75,True,,False,2006,2026,21,22.8,12,11,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""名人堂"": ""官方75大或名人堂履历""}",
55,Gary Payton,Gary Payton,paytoga01,NBA75,True,,False,1991,2007,17,24.2,9,9,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 9"", ""名人堂"": ""官方75大或名人堂履历""}",
56,Bob Pettit,Bob Pettit,pettibo01,NBA75,True,,False,1955,1965,11,31.1,11,11,1959|1956,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 11"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""MVP"": ""MVP赛季: 1959, 1956"", ""名人堂"": ""官方75大或名人堂履历""}",
57,Paul Pierce,Paul Pierce,piercpa01,NBA75,True,,False,1999,2017,19,26.8,10,4,,True,False,True,False,False,3|7|8|9|10|12|13,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 4"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
58,Scottie Pippen,Scottie Pippen,pippesc01,NBA75,True,,False,1988,2004,17,22.0,7,7,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""名人堂"": ""官方75大或名人堂履历""}",
59,Willis Reed,Willis Reed,reedwi01,NBA75,True,,False,1965,1974,10,21.7,7,5,1970,True,False,True,False,False,3|7|8|9|10|11|12|13,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""MVP"": ""MVP赛季: 1970"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
60,Oscar Robertson,Oscar Robertson,roberos01,NBA75,True,,False,1961,1974,14,31.4,12,11,1964,False,False,True,True,False,3|7|8|9|10|11|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""MVP"": ""MVP赛季: 1964"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
61,David Robinson,David Robinson,robinda01,NBA75,True,,False,1990,2003,14,29.8,10,10,1995,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 10"", ""MVP"": ""MVP赛季: 1995"", ""名人堂"": ""官方75大或名人堂履历""}",
62,Dennis Rodman,Dennis Rodman,rodmade01,NBA75,True,,False,1987,2000,14,11.6,2,2,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 2"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""名人堂"": ""官方75大或名人堂履历""}",
63,Bill Russell,Bill Russell,russebi01,NBA75,True,,False,1957,1969,13,18.9,12,11,1965|1963|1962|1961|1958,False,False,True,True,False,3|7|8|9|10|11|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""MVP"": ""MVP赛季: 1965, 1963, 1962, 1961, 1958"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
64,Dolph Schayes,Dolph Schayes,schaydo01,NBA75,True,,False,1950,1964,15,24.9,12,12,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 12"", ""名人堂"": ""官方75大或名人堂履历""}",
65,Bill Sharman,Bill Sharman,sharmbi01,NBA75,True,,False,1951,1961,11,22.3,8,7,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 8"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""名人堂"": ""官方75大或名人堂履历""}",
66,John Stockton,John Stockton,stockjo01,NBA75,True,,False,1985,2003,19,17.2,10,11,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""名人堂"": ""官方75大或名人堂履历""}",
67,Isiah Thomas,Isiah Thomas,thomais01,NBA75,True,,False,1982,1994,13,22.9,12,5,,True,False,True,False,False,3|7|8|9|10|12|13,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
68,Nate Thurmond,Nate Thurmond,thurmna01,NBA75,True,,False,1964,1977,14,21.9,7,0,,False,False,True,False,False,3|7|8|9|13,新秀|首发|核心|全明星|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""名人堂"": ""官方75大或名人堂履历""}",
69,Wes Unseld,Wes Unseld,unselwe01,NBA75,True,,False,1969,1981,13,16.2,5,1,1969,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 5"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 1"", ""MVP"": ""MVP赛季: 1969"", ""名人堂"": ""官方75大或名人堂履历""}",
70,Dwyane Wade,Dwyane Wade,wadedw01,NBA75,True,,False,2004,2019,16,30.2,13,8,,True,False,True,False,False,3|7|8|9|10|12|13,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 13"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 8"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
71,Bill Walton,Bill Walton,waltobi01,NBA75,True,,False,1975,1987,13,18.9,2,2,1978,True,True,True,False,False,3|6|7|8|9|10|11|12|13,新秀|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""第六人"": ""年度最佳第六人赛季: 1986"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 2"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""MVP"": ""MVP赛季: 1978"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
72,Jerry West,Jerry West,westje01,NBA75,True,,False,1961,1974,14,31.3,14,12,,True,False,True,True,False,3|7|8|9|10|12|13|14,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 14"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 12"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
73,Russell Westbrook,Russell Westbrook,westbru01,NBA75,True,,False,2009,2026,18,31.6,9,9,2017,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 9"", ""MVP"": ""MVP赛季: 2017"", ""名人堂"": ""官方75大或名人堂履历""}",
74,Lenny Wilkens,Lenny Wilkens,wilkele01,NBA75,True,,False,1961,1975,15,22.4,9,0,,False,False,True,False,False,3|7|8|9|13,新秀|首发|核心|全明星|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""名人堂"": ""官方75大或名人堂履历""}",
75,Dominique Wilkins,Dominique Wilkins,wilkido01,NBA75,True,,False,1983,1999,17,30.7,9,7,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""名人堂"": ""官方75大或名人堂履历""}",
76,James Worthy,James Worthy,worthja01,NBA75,True,,False,1983,1994,12,21.4,7,2,,True,False,True,False,False,3|7|8|9|10|12|13,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
77,Dwight Howard,Dwight Howard,howardw01,Extra24,False,落选官方75大；8次全明星、8次最佳阵容、3次DPOY级内线,False,2005,2022,18,22.9,8,8,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 8"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 8"", ""名人堂"": ""官方75大或名人堂履历""}",
78,Nikola Jokic,Nikola Jokić,jokicni01,Extra24,False,落选官方75大；多次MVP、FMVP、当代顶级中锋,False,2016,2026,11,29.6,8,7,2024|2022|2021,True,False,False,True,False,3|7|8|9|10|11|12|14,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 8"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""MVP"": ""MVP赛季: 2024, 2022, 2021"", ""FMVP"": ""获得过总决赛MVP"", ""传奇"": ""历史顶级/队史图腾级球星""}",
79,Luka Doncic,Luka Dončić,doncilu01,Extra24,False,落选官方75大；多次最佳阵容、当代持球核心,False,2019,2026,8,33.9,6,5,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 6"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5""}",
80,Joel Embiid,Joel Embiid,embiijo01,Extra24,False,落选官方75大；MVP、得分王级中锋,False,2017,2026,10,34.7,7,5,2023,False,False,False,False,False,3|7|8|9|10|11,新秀|首发|核心|全明星|最佳阵容|MVP,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""MVP"": ""MVP赛季: 2023""}",
81,Tracy McGrady,Tracy McGrady,mcgratr01,Extra24,False,落选官方75大；名人堂、得分王、巅峰外线核心,False,1998,2012,15,32.1,7,7,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""名人堂"": ""官方75大或名人堂履历""}",
82,Vince Carter,Vince Carter,cartevi01,Extra24,False,落选官方75大；名人堂、8次全明星、超长生涯,False,1999,2020,22,27.6,8,2,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 8"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""名人堂"": ""官方75大或名人堂履历""}",
83,Pau Gasol,Pau Gasol,gasolpa01,Extra24,False,落选官方75大；名人堂、冠军核心内线,False,2002,2019,18,20.8,6,4,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 6"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 4"", ""名人堂"": ""官方75大或名人堂履历""}",
84,Tony Parker,Tony Parker,parketo01,Extra24,False,落选官方75大；名人堂、FMVP、冠军后卫,False,2002,2019,18,22.0,6,4,,True,False,True,False,False,3|7|8|9|10|12|13,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 6"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 4"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
85,Manu Ginobili,Manu Ginóbili,ginobma01,Extra24,False,落选官方75大；名人堂、第六人代表、冠军后卫,False,2003,2018,16,19.5,2,2,,False,True,True,False,False,3|6|7|8|9|10|13,新秀|第六人|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""第六人"": ""年度最佳第六人赛季: 2008"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 2"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""名人堂"": ""官方75大或名人堂履历""}",
86,Chris Bosh,Chris Bosh,boshch01,Extra24,False,落选官方75大；名人堂、冠军核心内线,False,2004,2016,13,24.0,11,1,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 11"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 1"", ""名人堂"": ""官方75大或名人堂履历""}",
87,Yao Ming,Yao Ming,mingya01,Extra24+ChinaSpecial,False,落选官方75大；名人堂、国际影响力中锋,True,2003,2011,9,25.0,8,5,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
88,Alonzo Mourning,Alonzo Mourning,mournal01,Extra24,False,落选官方75大；名人堂、DPOY级中锋,False,1993,2008,16,23.2,7,2,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""名人堂"": ""官方75大或名人堂履历""}",
89,Dikembe Mutombo,Dikembe Mutombo,mutomdi01,Extra24,False,落选官方75大；名人堂、历史级防守中锋,False,1992,2009,18,16.6,8,3,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 8"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 3"", ""名人堂"": ""官方75大或名人堂履历""}",
90,Ben Wallace,Ben Wallace,wallabe01,Extra24,False,落选官方75大；名人堂、DPOY级冠军中锋,False,1997,2012,16,9.7,4,5,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 4"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""名人堂"": ""官方75大或名人堂履历""}",
91,Grant Hill,Grant Hill,hillgr01,Extra24,False,落选官方75大；名人堂、巅峰全能前锋,False,1995,2013,19,25.8,7,5,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""名人堂"": ""官方75大或名人堂履历""}",
92,Klay Thompson,Klay Thompson,thompkl01,Extra24,False,落选官方75大；冠军核心、历史级射手,False,2012,2026,15,22.3,5,2,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 5"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2""}",
93,Draymond Green,Draymond Green,greendr01,Extra24,False,落选官方75大；冠军核心、DPOY级组织防守前锋,False,2013,2026,14,14.0,4,2,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 4"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2""}",
94,Kyrie Irving,Kyrie Irving,irvinky01,Extra24,False,落选官方75大；冠军核心、顶级单打后卫,False,2012,2025,14,27.4,9,3,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 3""}",
95,Jimmy Butler,Jimmy Butler,butleji01,Extra24,False,落选官方75大；季后赛核心、攻防领袖,False,2012,2026,15,23.9,6,5,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 6"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5""}",
